КодТовара;Ноименование;Фабрика;Характеристика;Ед.изм.;Склад;Остаток
100400_100995_30001; Fiordimarmo ROSA ANTICO Nat 40x40; !!! ПОСЛЕДНЯЯ ЦЕНА; 18/K7/40х40; м2; А.Люберцы; 1.6
100400_100995_98284; Fiordimarmo SELECT Nat 40x40; !!! ПОСЛЕДНЯЯ ЦЕНА; 12/K7/40х40; м2; А.Люберцы; 2.24
100400_100995_100507; Marmi ESTREMOZ L мозайка 30х30  чип 5х5 из 2сорта.; !!! ПОСЛЕДНЯЯ ЦЕНА; A10/K7/40х40; шт.; А.Люберцы; 9
100400_100995_70543; Marmi SKYROS L 45x90; !!! ПОСЛЕДНЯЯ ЦЕНА; A00/K7/45x90; м2; А.Люберцы; 6
100400_100995_33444; Pietre Naturali IRON STONE Cornice Metalli  3x30; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/3х30; шт.; А.Люберцы; 15
100400_100995_70822; Pietre Naturali Listello Decoro Glas Inserto Copper 1x60; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/1х60; шт.; А.Люберцы; 10
100400_100995_97624; Pietre Naturali PIETRA DI LUCERNA Strutt. 30x60; !!! ПОСЛЕДНЯЯ ЦЕНА; 18/K7/30х60; м2; А.Люберцы; 0.54
100400_100995_54274; Pietre Naturali SILVER STONE Cornice Metalli  3x30; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/3х30; шт.; А.Люберцы; 49
100400_100995_1271; Tozz AFYON L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; A56/9x9; шт.; А.Люберцы; 673
100400_100995_1223; Tozz ARNI L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; A54/9x9; шт.; А.Люберцы; 122
100400_100995_10113; Tozz BARDIGLIO IMPERIALE L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; A56/9x9; шт.; А.Люберцы; 145
100400_100995_10119; Tozz BOTICINO L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; A00/9x9; шт.; А.Люберцы; 46
100400_100995_10336; Tozz BRECCIA MARINA L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; B64/9x9; шт.; А.Люберцы; 21
100400_100995_10121; Tozz ESTREMOZ L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; B58/9x9; шт.; А.Люберцы; 354
100400_100995_1434; Tozz GIALLO REALE L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; A47/9x9; шт.; А.Люберцы; 566
100400_100995_30260; Tozz MAHOGANY L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; 9х9; шт.; А.Люберцы; 18
100400_100995_10115; Tozz MARFIL L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; A34/9x9; шт.; А.Люберцы; 225
100400_100995_13080; Tozz MARMO BLU L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; B56/9x9; шт.; А.Люберцы; 89
100400_100995_13156; Tozz ROSA PORTOGALLO L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; B00/9x9; шт.; А.Люберцы; 120
100400_100995_25171; Tozz ROSA PORTOGALLO L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; B00/9x9; шт.; А.Люберцы; 217
100400_100995_13157; Tozz STATUARIO L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; B10/9x9; шт.; А.Люберцы; 41
100400_100995_10269; Tozz STATUARIO VENATO L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; A00/9x9; шт.; А.Люберцы; 17
100400_100995_10270; Tozz STATUARIO VENATO L 9x9; !!! ПОСЛЕДНЯЯ ЦЕНА; A11/9x9; шт.; А.Люберцы; 164
100400_57900_56815; Opera Turandot ORO 4,5x60 rett.; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/4,5х60; шт.; А.Люберцы; 9
100400_57900_55856; Pantheon CELIO 30х30; !!! ПОСЛЕДНЯЯ ЦЕНА; D30/K5/30х30; м2; А.Люберцы; 1.08
